txn_id,timestamp,txn_type,channel,amount,status,payer_upi,payee_upi,payer_device_id,payee_device_id,payer_city,payee_city,is_fraud,payer_lat,payer_lon,payee_lat,payee_lon
UPI1043106,2025-01-30 22:26:00,P2P,QR,562.85,SUCCESS,kalasule@okhdfcbank,aachalthak@okhdfcbank,dev_6906196,dev_41178504,Jaipur,Kolkata,0,26.956108,75.816741,22.623304,88.349431
UPI1038695,2025-01-27 20:55:00,P2P,Intent,2201.22,SUCCESS,aashichoud@okicici,anamikadan@okicici,dev_38218257,dev_6455500,Delhi,Bengaluru,0,28.712516,77.059613,12.911713,77.559477
UPI1006188,2025-01-05 07:08:00,P2M,Intent,420.33,SUCCESS,jairajbaks@okhdfcbank,balvanloya@okicici,dev_92135189,dev_28233640,Kolkata,Mumbai,0,22.498437,88.317493,19.148532,72.949906
UPI1001414,2025-01-01 23:34:00,P2P,QR,92.31,SUCCESS,hemanginis@okaxis,rachanamer@okicici,dev_60793895,dev_80117872,Delhi,Hyderabad,0,28.716472,77.04065,17.484363,78.595964
UPI1018471,2025-01-13 19:51:00,P2P,QR,404.53,SUCCESS,krishabatr@okyesbank,daksheshba@okicici,dev_10753222,dev_69014486,Jaipur,Chennai,0,26.754581,75.781903,13.015235,80.242527
UPI1029282,2025-01-21 08:02:00,P2P,QR,462.11,SUCCESS,kritikayog@okicici,jeetrege@okyesbank,dev_8925313,dev_43662129,Chennai,Mumbai,0,12.941393,80.322341,19.223166,72.828969
UPI1015177,2025-01-11 12:57:00,P2P,Intent,1.66,SUCCESS,girikchaud@okyesbank,balveerpra@oksbi,dev_69131100,dev_68813843,Bengaluru,Mumbai,0,12.929873,77.478251,19.284115,72.806471
UPI1034304,2025-01-24 19:44:00,P2M,QR,893.01,SUCCESS,charvisesh@oksbi,kavyatando@oksbi,dev_68254947,dev_79557736,Hyderabad,Jaipur,0,17.38045,78.356246,26.756616,75.708264
UPI1012609,2025-01-09 18:09:00,P2P,QR,843.65,SUCCESS,amolanand@okyesbank,ronithkris@okicici,dev_2536083,dev_57745189,Bengaluru,Kolkata,0,12.840043,77.488214,22.629336,88.493435
UPI1012144,2025-01-09 10:24:00,P2P,QR,989.23,SUCCESS,rachitandr@oksbi,harishnaru@okyesbank,dev_37897455,dev_32377303,Bengaluru,Kolkata,0,13.170658,77.413973,22.570407,88.424032
UPI1006113,2025-01-05 05:53:00,P2P,QR,2035.07,SUCCESS,yatinom@oksbi,hiralkohli@oksbi,dev_41730715,dev_76339916,Bengaluru,Pune,0,13.15894,77.770166,18.660695,73.877572
UPI1015908,2025-01-12 01:08:00,P2P,Intent,82.49,SUCCESS,snehajoshi@okhdfcbank,orindertan@okaxis,dev_26381776,dev_91961408,Kolkata,Delhi,0,22.486662,88.349559,28.500131,76.978828
UPI1000821,2025-01-01 13:41:00,P2P,QR,234.31,SUCCESS,tanishchow@okyesbank,ishabose@okaxis,dev_58021440,dev_77473707,Pune,Mumbai,0,18.659845,73.891233,19.288439,72.947182
UPI1015118,2025-01-11 11:58:00,P2M,Intent,988.04,SUCCESS,sudikshach@okicici,ekiyawarri@okicici,dev_20174474,dev_32996601,Bengaluru,Hyderabad,0,12.862849,77.681477,17.38297,78.533597
UPI1013466,2025-01-10 08:26:00,P2P,Intent,1221.89,SUCCESS,banjeetagg@okhdfcbank,ishanikulk@oksbi,dev_59140366,dev_18381718,Pune,Kolkata,0,18.661237,73.882106,22.547955,88.471199
UPI1026497,2025-01-19 09:37:00,P2P,Intent,421.48,SUCCESS,nehagoyal@okaxis,adityachop@okicici,dev_67693774,dev_40819586,Kolkata,Pune,0,22.61787,88.367474,18.505076,73.924503
UPI1042111,2025-01-30 05:51:00,AutoPay,Intent,191.96,SUCCESS,chameligho@okyesbank,onichowdhu@oksbi,dev_16881023,dev_64134755,Hyderabad,Chennai,0,17.505035,78.539354,13.096705,80.130947
UPI1030188,2025-01-21 23:08:00,P2P,QR,1031.21,SUCCESS,gaurikacho@okyesbank,bimalabani@okicici,dev_98681043,dev_98004316,Pune,Chennai,0,18.402063,73.773049,12.916192,80.32246
UPI1037237,2025-01-26 20:37:00,AutoPay,QR,1171.32,SUCCESS,zayanandra@okyesbank,owenmangat@okhdfcbank,dev_68365925,dev_96153355,Hyderabad,Delhi,0,17.257917,78.565651,28.795594,76.923809
UPI1033109,2025-01-23 23:49:00,P2M,QR,193.0,SUCCESS,warinderdu@okhdfcbank,aayushbhat@okaxis,dev_6408091,dev_74315936,Pune,Mumbai,0,18.439583,73.896861,19.232466,72.71778
UPI1036480,2025-01-26 08:00:00,P2M,Intent,412.93,FAILED,jairajkorp@okicici,inayamerch@okhdfcbank,dev_25031446,dev_22781721,Jaipur,Pune,0,26.745608,75.622083,18.493368,73.893114
UPI1024148,2025-01-17 18:28:00,P2M,Intent,619.53,SUCCESS,amritasant@okyesbank,forumbaner@okyesbank,dev_61292495,dev_36404932,Jaipur,Mumbai,0,26.885127,75.70672,19.175921,72.878396
UPI1005503,2025-01-04 19:43:00,P2P,Intent,1916.15,SUCCESS,udyatikuri@okyesbank,manbirbasu@okaxis,dev_7675181,dev_61390892,Kolkata,Jaipur,0,22.569141,88.472619,26.964041,75.887065
UPI1003918,2025-01-03 17:18:00,P2M,Intent,680.62,SUCCESS,mugdhanara@okicici,maanasjosh@oksbi,dev_41652109,dev_73109809,Jaipur,Hyderabad,0,26.905681,75.862376,17.357582,78.325653
UPI1038478,2025-01-27 17:18:00,AutoPay,QR,1162.92,SUCCESS,warinderbh@okyesbank,udyatiatwa@okicici,dev_32647911,dev_56285683,Jaipur,Delhi,0,26.784658,75.768314,28.589103,76.90672
UPI1021123,2025-01-15 16:03:00,P2M,Intent,21.91,SUCCESS,ishaanmoha@okicici,avniseth@okaxis,dev_78533431,dev_7536165,Delhi,Mumbai,0,28.423654,77.045132,19.206294,72.794843
UPI1049717,2025-02-04 12:37:00,P2P,Intent,3626.48,SUCCESS,rehaanrama@okaxis,paninibhat@okhdfcbank,dev_24439130,dev_32826531,Mumbai,Kolkata,0,19.004794,72.812071,22.464733,88.419448
UPI1042294,2025-01-30 08:54:00,P2P,Intent,3018.61,SUCCESS,peternori@okicici,patrickgup@okhdfcbank,dev_82524124,dev_33223556,Delhi,Hyderabad,0,28.43913,77.287641,17.429115,78.415757
UPI1047609,2025-02-03 01:29:00,P2M,QR,117.39,SUCCESS,saanvichok@okhdfcbank,atharvyoha@okhdfcbank,dev_13588077,dev_30513709,Pune,Chennai,0,18.402609,73.783852,13.092816,80.149592
UPI1011076,2025-01-08 16:36:00,AutoPay,QR,3.57,SUCCESS,hritikdewa@oksbi,yashvikala@okyesbank,dev_43115339,dev_78811414,Pune,Bengaluru,0,18.669083,73.702941,12.973766,77.662276
UPI1041514,2025-01-29 19:54:00,P2P,DeepLink,160.34,SUCCESS,nilimabrar@okyesbank,dominicguh@okyesbank,dev_18327224,dev_90613464,Delhi,Bengaluru,0,28.498155,77.168476,12.997725,77.639477
UPI1022062,2025-01-16 07:42:00,P2P,DeepLink,1406.55,SUCCESS,suhanishet@okaxis,devanshnaz@okhdfcbank,dev_97737523,dev_82173011,Bengaluru,Mumbai,0,12.999232,77.435438,19.099066,72.807759
UPI1009413,2025-01-07 12:53:00,P2M,QR,2118.56,SUCCESS,alexanderr@oksbi,ekavirshro@oksbi,dev_80181958,dev_65208429,Chennai,Kolkata,0,13.094025,80.19125,22.500826,88.26682
UPI1038340,2025-01-27 15:00:00,P2M,DeepLink,91.57,SUCCESS,devsarma@okhdfcbank,finnchahal@okyesbank,dev_90282990,dev_99388908,Pune,Hyderabad,0,18.511821,73.729476,17.568919,78.302542
UPI1030263,2025-01-22 00:23:00,P2P,Intent,1039.46,SUCCESS,nicholasha@okicici,qadimnair@okyesbank,dev_9653210,dev_83398378,Jaipur,Bengaluru,0,26.758659,75.888931,12.942621,77.679316
UPI1041252,2025-01-29 15:32:00,P2P,QR,2120.83,SUCCESS,nathanradh@okyesbank,sanayagaba@okaxis,dev_24101383,dev_74613378,Hyderabad,Bengaluru,0,17.516127,78.548272,12.892068,77.489238
UPI1014644,2025-01-11 04:04:00,P2M,QR,280.41,SUCCESS,bachittarj@okyesbank,daksheshti@okyesbank,dev_1095068,dev_73869615,Mumbai,Bengaluru,0,19.234767,72.845875,13.094138,77.748699
UPI1026335,2025-01-19 06:55:00,P2M,Intent,1250.7,SUCCESS,adityavohr@okaxis,vyanjanara@okicici,dev_48237782,dev_21746301,Pune,Delhi,0,18.677798,73.801123,28.472415,77.295562
UPI1028102,2025-01-20 12:22:00,P2M,QR,680.51,SUCCESS,anthonynar@okhdfcbank,abhiramkum@oksbi,dev_38581987,dev_40541153,Jaipur,Hyderabad,0,26.756222,75.750419,17.338951,78.4907
UPI1017523,2025-01-13 04:03:00,P2M,QR,130.41,SUCCESS,ekantakris@oksbi,pushtimish@okaxis,dev_26076919,dev_37071737,Mumbai,Jaipur,0,19.07139,72.825775,26.722467,75.830148
UPI1024712,2025-01-18 03:52:00,P2P,QR,2218.53,FAILED,urishillab@okaxis,charlesseh@oksbi,dev_72861270,dev_52566191,Delhi,Kolkata,0,28.483573,77.099571,22.499694,88.264126
UPI1040485,2025-01-29 02:45:00,P2P,QR,56.37,SUCCESS,alexanderb@okicici,yatinrana@okhdfcbank,dev_9325352,dev_97826672,Bengaluru,Jaipur,0,13.120197,77.500397,26.929888,75.688914
UPI1003850,2025-01-03 16:10:00,P2P,QR,417.25,SUCCESS,qadimwable@okicici,leelabora@okaxis,dev_83638563,dev_87615781,Hyderabad,Kolkata,0,17.429042,78.443624,22.662021,88.428764
UPI1040040,2025-01-28 19:20:00,P2P,QR,281.98,SUCCESS,shivanisan@okicici,vivaanshan@okaxis,dev_72853742,dev_58079389,Mumbai,Delhi,0,19.169236,72.895592,28.523766,77.308354
UPI1015267,2025-01-11 14:27:00,P2M,QR,4010.39,SUCCESS,omyavala@okhdfcbank,indrajitga@okaxis,dev_4278271,dev_23354183,Chennai,Pune,0,12.924969,80.200536,18.571504,73.723868
UPI1049146,2025-02-04 03:06:00,P2P,QR,768.96,SUCCESS,raaginikap@oksbi,gunbirghos@oksbi,dev_23744785,dev_73928468,Bengaluru,Bengaluru,0,13.185526,77.418896,13.111188,77.549835
UPI1030001,2025-01-21 20:01:00,P2M,DeepLink,927.43,SUCCESS,advikakann@oksbi,ayaanbrahm@okicici,dev_87234134,dev_73508007,Pune,Hyderabad,0,18.577532,73.782931,17.458378,78.390723
UPI1045926,2025-02-01 21:26:00,P2M,QR,342.72,SUCCESS,masonwalla@okyesbank,bakhshibha@okicici,dev_33394280,dev_93750579,Mumbai,Kolkata,0,19.299239,72.86055,22.568103,88.395354
UPI1043824,2025-01-31 10:24:00,P2M,QR,351.69,SUCCESS,vihaansaha@okhdfcbank,aviramesh@okhdfcbank,dev_43700831,dev_11516785,Kolkata,Kolkata,0,22.482653,88.45698,22.626207,88.283426
UPI1017240,2025-01-12 23:20:00,P2P,Intent,419.14,SUCCESS,tristansan@okaxis,vanshasava@okhdfcbank,dev_56173209,dev_41402003,Bengaluru,Bengaluru,0,12.803505,77.720705,12.888119,77.772847
UPI1004892,2025-01-04 09:32:00,P2P,DeepLink,745.26,SUCCESS,chasmumset@okyesbank,ekantikaha@okaxis,dev_81935327,dev_43182040,Pune,Hyderabad,0,18.506415,73.872779,17.229391,78.367888
UPI1000725,2025-01-01 12:05:00,P2P,Intent,135.6,SUCCESS,darpanbhav@okicici,ekavirjhav@okicici,dev_92854049,dev_9672749,Mumbai,Kolkata,0,19.002162,72.937799,22.581082,88.27961
UPI1022949,2025-01-16 22:29:00,P2M,QR,2073.73,SUCCESS,saisodhi@okaxis,harrisonka@oksbi,dev_32083144,dev_61006831,Hyderabad,Jaipur,0,17.231229,78.460118,26.839766,75.626109
UPI1034657,2025-01-25 01:37:00,P2P,QR,68.79,SUCCESS,jagatpradh@okaxis,ishaanchak@okaxis,dev_95152223,dev_90082096,Kolkata,Kolkata,0,22.570709,88.330763,22.686262,88.417658
UPI1037213,2025-01-26 20:13:00,P2P,Intent,1600.96,SUCCESS,yadavisood@okyesbank,mananbandi@oksbi,dev_39758176,dev_10103722,Kolkata,Kolkata,0,22.586352,88.4173,22.54909,88.416421
UPI1020304,2025-01-15 02:24:00,P2P,QR,576.01,SUCCESS,waidamanna@okaxis,xitibhat@oksbi,dev_99655593,dev_62199393,Bengaluru,Pune,0,13.147451,77.660452,18.544294,73.934646
UPI1015269,2025-01-11 14:29:00,P2M,Intent,255.49,SUCCESS,mekhalamer@okicici,widishapar@okyesbank,dev_6242119,dev_57109622,Pune,Hyderabad,0,18.458678,73.855156,17.288567,78.419519
UPI1022367,2025-01-16 12:47:00,P2M,QR,2831.14,SUCCESS,qarinreddy@okaxis,pushtiraja@okaxis,dev_58963758,dev_31821202,Hyderabad,Chennai,0,17.469944,78.591412,13.044937,80.346832
UPI1042684,2025-01-30 15:24:00,P2P,QR,1811.58,SUCCESS,yashicade@okicici,aaravmunsh@okyesbank,dev_84665203,dev_29694483,Chennai,Mumbai,0,12.988851,80.128936,19.133757,72.811178
UPI1046734,2025-02-02 10:54:00,P2P,QR,2503.94,SUCCESS,udarshsamr@okhdfcbank,jyotidevi@okaxis,dev_84239188,dev_10216548,Pune,Delhi,0,18.682661,73.820022,28.790387,77.043683
UPI1011732,2025-01-09 03:32:00,P2P,DeepLink,1473.79,SUCCESS,ijayadeshp@okyesbank,bahadurjit@okaxis,dev_36303273,dev_42162125,Chennai,Kolkata,0,12.962103,80.134017,22.442521,88.332851
UPI1018619,2025-01-13 22:19:00,AutoPay,Intent,380.51,PENDING,frederickc@okhdfcbank,elijahdesh@okhdfcbank,dev_36931169,dev_6133689,Mumbai,Pune,0,19.248156,72.776677,18.627261,73.853954
UPI1048492,2025-02-03 16:12:00,AutoPay,QR,823.31,FAILED,rachitdara@okyesbank,fiyazchand@okicici,dev_38355599,dev_77616841,Pune,Delhi,0,18.474256,73.710832,28.73803,77.314311
UPI1026803,2025-01-19 14:43:00,P2M,QR,591.29,FAILED,aashisom@okyesbank,amararajag@okaxis,dev_36167223,dev_84558828,Hyderabad,Chennai,0,17.290049,78.511077,13.156432,80.204336
UPI1044305,2025-01-31 18:25:00,P2P,DeepLink,49.97,SUCCESS,joshuaambl@okyesbank,eiravatina@oksbi,dev_81412835,dev_43674352,Delhi,Bengaluru,0,28.558075,77.009901,12.820719,77.50645
UPI1047522,2025-02-03 00:02:00,P2M,QR,546.85,SUCCESS,theodoresa@oksbi,charanprab@okicici,dev_87526953,dev_22752894,Chennai,Chennai,0,13.13768,80.206783,13.012219,80.349231
UPI1032207,2025-01-23 08:47:00,P2M,Intent,794.11,SUCCESS,upmakapur@oksbi,warinderdu@okaxis,dev_68153099,dev_22158097,Bengaluru,Jaipur,0,12.875016,77.564578,26.755341,75.774735
UPI1002530,2025-01-02 18:10:00,P2M,QR,564.78,SUCCESS,jasmitbani@okyesbank,indrajitsa@okicici,dev_53568991,dev_7104247,Pune,Mumbai,0,18.490478,73.718739,19.103539,72.79759
UPI1017746,2025-01-13 07:46:00,P2P,QR,1796.05,SUCCESS,advaithgoy@okyesbank,gavinbrar@okhdfcbank,dev_71854914,dev_47449881,Bengaluru,Mumbai,0,12.975794,77.713992,19.23343,72.942322
UPI1008270,2025-01-06 17:50:00,P2M,Intent,376.59,SUCCESS,masonmall@oksbi,avnikashya@oksbi,dev_88229391,dev_30326402,Mumbai,Bengaluru,0,19.198116,72.709971,13.045058,77.55659
UPI1015079,2025-01-11 11:19:00,P2M,QR,1295.49,SUCCESS,owenchad@okicici,kavyasharm@okaxis,dev_27964256,dev_44628557,Hyderabad,Bengaluru,0,17.393149,78.378,12.938445,77.644837
UPI1013624,2025-01-10 11:04:00,P2M,QR,218.71,SUCCESS,aradhanave@okyesbank,bachittarc@okyesbank,dev_10092813,dev_44210980,Bengaluru,Hyderabad,0,12.821511,77.595142,17.387343,78.590283
UPI1030638,2025-01-22 06:38:00,P2P,Intent,295.75,SUCCESS,darshsule@okyesbank,advikkapur@okicici,dev_99423720,dev_53054106,Chennai,Jaipur,0,13.187394,80.196118,26.767878,75.712318
UPI1030440,2025-01-22 03:20:00,P2M,QR,112.85,SUCCESS,urishillag@okhdfcbank,aaravnarul@okaxis,dev_99895847,dev_32043382,Bengaluru,Bengaluru,0,13.160761,77.650097,13.043741,77.766803
UPI1036056,2025-01-26 00:56:00,P2M,QR,2946.68,SUCCESS,lohitbhasi@okyesbank,lipikasuri@okaxis,dev_53058620,dev_40736510,Mumbai,Delhi,0,19.259891,72.732219,28.432437,77.20815
UPI1042651,2025-01-30 14:51:00,P2M,Intent,1922.27,SUCCESS,sathvikhan@okyesbank,ranveerrad@okicici,dev_59116061,dev_46118107,Chennai,Chennai,0,13.175661,80.124427,13.080101,80.322406
UPI1036803,2025-01-26 13:23:00,P2P,QR,1562.17,SUCCESS,yuvrajbarm@okaxis,brijeshkal@okyesbank,dev_95604917,dev_62731354,Mumbai,Kolkata,0,19.057163,72.836835,22.616185,88.362666
UPI1048224,2025-02-03 11:44:00,P2M,QR,1737.74,SUCCESS,poojaratta@okicici,tarakulkar@okaxis,dev_91254444,dev_51007752,Delhi,Delhi,0,28.62168,77.102247,28.798789,77.138431
UPI1029226,2025-01-21 07:06:00,P2M,QR,78.55,SUCCESS,amrutamann@okhdfcbank,ishwarrai@okhdfcbank,dev_53219720,dev_32083144,Jaipur,Pune,0,26.777118,75.70618,18.61391,73.779389
UPI1005633,2025-01-04 21:53:00,AutoPay,DeepLink,381.32,SUCCESS,lopamutti@oksbi,lakshmivor@okhdfcbank,dev_68746964,dev_73686135,Pune,Pune,0,18.680025,73.741927,18.571235,73.788889
UPI1005987,2025-01-05 03:47:00,P2M,QR,1120.0,SUCCESS,siyavohra@okicici,urvashiseh@okhdfcbank,dev_65869188,dev_92519039,Jaipur,Pune,0,26.900222,75.607326,18.435414,73.766387
UPI1048063,2025-02-03 09:03:00,P2P,Intent,376.52,SUCCESS,anvibalakr@okicici,chavvihald@okyesbank,dev_47125082,dev_98471020,Chennai,Pune,0,13.059927,80.192849,18.49648,73.805102
UPI1001812,2025-01-02 06:12:00,AutoPay,QR,233.64,SUCCESS,nicholasta@okyesbank,adityachop@okicici,dev_99577088,dev_63102878,Delhi,Pune,0,28.694742,77.310649,18.67855,73.838404
UPI1027578,2025-01-20 03:38:00,P2M,QR,109.38,SUCCESS,triptipall@okaxis,isaacbhatt@okyesbank,dev_25052017,dev_44036168,Bengaluru,Delhi,0,13.16392,77.654566,28.741372,77.093906
UPI1016823,2025-01-12 16:23:00,P2M,QR,196.26,SUCCESS,ronithkris@okicici,nimratkuru@oksbi,dev_98897133,dev_15425858,Mumbai,Hyderabad,0,19.017673,72.90234,17.53017,78.345151
UPI1003928,2025-01-03 17:28:00,P2P,Intent,827.43,SUCCESS,forumray@oksbi,ryanbora@okaxis,dev_33191808,dev_39740352,Mumbai,Jaipur,0,19.286469,72.797879,26.965391,75.687038
UPI1037286,2025-01-26 21:26:00,P2P,QR,5.99,SUCCESS,harshsekho@okaxis,kashishjha@okhdfcbank,dev_90870094,dev_52411148,Delhi,Hyderabad,0,28.665502,77.210025,17.449645,78.471646
UPI1025045,2025-01-18 09:25:00,P2P,Intent,884.42,SUCCESS,chandanich@okaxis,bhanumatip@okicici,dev_89364107,dev_47615408,Bengaluru,Jaipur,0,12.989105,77.710845,26.914984,75.766004
UPI1015727,2025-01-11 22:07:00,P2M,QR,293.04,SUCCESS,ikbalandra@oksbi,krishadeva@okaxis,dev_75709353,dev_44513839,Hyderabad,Mumbai,0,17.334607,78.565357,19.043813,72.932705
UPI1029600,2025-01-21 13:20:00,P2M,DeepLink,1145.19,SUCCESS,omajadhawa@okyesbank,zarnachowd@okyesbank,dev_6959211,dev_24770806,Pune,Hyderabad,0,18.697707,73.914892,17.271315,78.524521
UPI1010430,2025-01-08 05:50:00,P2M,QR,685.48,SUCCESS,pavanichan@oksbi,jacksonkee@oksbi,dev_56665579,dev_4761337,Delhi,Delhi,0,28.479834,77.306825,28.600241,77.034265
UPI1025768,2025-01-18 21:28:00,P2M,QR,1097.1,FAILED,vanshachau@oksbi,chakrikago@okyesbank,dev_61577120,dev_97679035,Chennai,Pune,0,13.011495,80.184965,18.620733,73.723341
UPI1029103,2025-01-21 05:03:00,P2M,QR,375.4,SUCCESS,forumsanka@oksbi,rohanramas@okicici,dev_36994183,dev_43195982,Hyderabad,Mumbai,0,17.43925,78.386146,19.26646,72.889895
UPI1036537,2025-01-26 08:57:00,P2P,QR,42.31,SUCCESS,hamsinibat@okaxis,qasimkibe@okyesbank,dev_31163057,dev_98500320,Pune,Delhi,0,18.531988,73.926076,28.61019,76.971954
UPI1039328,2025-01-28 07:28:00,P2M,DeepLink,3460.74,FAILED,varshabail@oksbi,triyaray@okaxis,dev_71814392,dev_18914701,Mumbai,Kolkata,0,19.058805,72.921806,22.485785,88.268399
UPI1035539,2025-01-25 16:19:00,P2M,Intent,1866.62,SUCCESS,krishmalho@okicici,charlespal@okaxis,dev_26169073,dev_94844325,Delhi,Pune,0,28.584773,77.266105,18.647017,73.715284
UPI1028075,2025-01-20 11:55:00,P2P,QR,65.47,SUCCESS,frederickh@okyesbank,jeetparekh@okyesbank,dev_48933130,dev_18348296,Jaipur,Kolkata,0,26.785385,75.882276,22.535925,88.234831
UPI1017840,2025-01-13 09:20:00,P2M,QR,197.19,SUCCESS,vanyabandi@okaxis,ekapaddhaw@oksbi,dev_5436134,dev_69441267,Hyderabad,Pune,0,17.260983,78.397452,18.484757,73.702085
UPI1027802,2025-01-20 07:22:00,P2P,QR,65.15,SUCCESS,aaravjain@oksbi,tarajayara@okyesbank,dev_73490951,dev_2113288,Kolkata,Kolkata,0,22.442644,88.335547,22.509931,88.20329
UPI1007682,2025-01-06 08:02:00,P2M,QR,1067.33,SUCCESS,jeevikabha@okicici,arunimacha@okicici,dev_60215834,dev_57904933,Delhi,Mumbai,0,28.488413,77.265361,19.033034,72.867637
UPI1024279,2025-01-17 20:39:00,P2P,QR,495.52,SUCCESS,vrittibass@okaxis,faqidkant@oksbi,dev_93057891,dev_76657299,Pune,Bengaluru,0,18.609413,73.850036,13.029245,77.723895
UPI1033070,2025-01-23 23:10:00,P2M,Intent,3083.04,SUCCESS,falgunikar@okaxis,siyaiyer@okicici,dev_68017878,dev_41891209,Kolkata,Jaipur,0,22.540674,88.489802,26.985381,75.891141
UPI1035557,2025-01-25 16:37:00,P2P,QR,2178.78,SUCCESS,anikabava@okaxis,diptamerch@okaxis,dev_15782098,dev_90484995,Hyderabad,Kolkata,0,17.593774,78.572005,22.684355,88.381941
UPI1037189,2025-01-26 19:49:00,P2P,QR,321.59,SUCCESS,yahvibhall@okicici,shivanshla@okyesbank,dev_10895805,dev_80892218,Hyderabad,Delhi,0,17.468502,78.436842,28.602795,77.399602
UPI1047149,2025-02-02 17:49:00,P2M,QR,1402.06,SUCCESS,udarshvisw@oksbi,aadirama@oksbi,dev_27569903,dev_85609380,Bengaluru,Delhi,0,12.823437,77.423314,28.621806,77.348941
UPI1046915,2025-02-02 13:55:00,P2M,Intent,167.0,FAILED,ekajanatar@okicici,wakeetaaur@okicici,dev_1222482,dev_50744794,Pune,Delhi,0,18.682662,73.784033,28.427803,77.280599
UPI1009801,2025-01-07 19:21:00,P2P,QR,72.39,SUCCESS,daniellall@okhdfcbank,urishillaj@oksbi,dev_30670197,dev_41877654,Mumbai,Chennai,0,19.198903,72.807941,12.923972,80.191559
UPI1038800,2025-01-27 22:40:00,P2P,QR,70.12,FAILED,hamsinilal@oksbi,yugtata@okaxis,dev_75979443,dev_61189476,Chennai,Delhi,0,13.065834,80.189538,28.625644,77.059939
UPI1024669,2025-01-18 03:09:00,P2M,QR,289.91,SUCCESS,aryasridha@okaxis,nakshdubey@okhdfcbank,dev_25059987,dev_20462451,Chennai,Bengaluru,0,13.129857,80.206889,13.016974,77.638882
UPI1044233,2025-01-31 17:13:00,P2M,Intent,1376.64,SUCCESS,darpansalv@oksbi,jackdoshi@okhdfcbank,dev_68412640,dev_59544710,Pune,Pune,0,18.44692,73.891777,18.533622,73.738913
UPI1031919,2025-01-23 03:59:00,P2P,QR,1241.97,SUCCESS,manyaissac@okhdfcbank,owenchoudh@oksbi,dev_75954636,dev_59199819,Jaipur,Pune,0,26.937803,75.603028,18.529241,73.898949
UPI1007134,2025-01-05 22:54:00,P2P,QR,109.71,SUCCESS,tamannanig@okicici,champakswa@okaxis,dev_10442765,dev_30936242,Kolkata,Kolkata,0,22.463086,88.258758,22.53484,88.476524
UPI1033704,2025-01-24 09:44:00,P2P,QR,903.47,SUCCESS,keyakarnik@okhdfcbank,diyabassi@okicici,dev_10411967,dev_59298086,Chennai,Hyderabad,0,12.915331,80.281899,17.369035,78.435444
UPI1029660,2025-01-21 14:20:00,P2P,QR,4350.58,SUCCESS,falakpant@okhdfcbank,lakshitnig@oksbi,dev_51579256,dev_90046583,Hyderabad,Delhi,0,17.268238,78.52334,28.448984,77.267539
UPI1017893,2025-01-13 10:13:00,P2M,Intent,846.04,SUCCESS,fitanhanda@okyesbank,darpanratt@okhdfcbank,dev_49427722,dev_10557933,Jaipur,Delhi,0,26.917851,75.669779,28.590784,77.072349
